Day;Hour;Secular_Holiday;Religious_holiday;Sports;TV_Media;Weather_transport;AirTempMLM;AirTempSTHLM;precipitationMLM;precipitationSTHLM;RainMLM2;RainSTHLM2;D_precipitationMLM;D_precipitationSTHLM;D_AirTempMLM;D_AirTempSTHLM;D_precipitationMLM2;D_precipitationSTHLM2;D_AirTempMLM2;D_AirTempSTHLM2;MY;StandSize;AirTempMLM2;AirTempSTHLM2
1;0;0;0;0;0;0;7.1;6.1;.9;.2;.8100000000000001;.04;-.4;.2;.0999999999999996;-.1000000000000005;.16;.04;.0099999999999999;.0100000000000001;201605;-1.5352373;50.41;37.209999
2;0;0;0;0;0;0;8.6;7.5;0;0;0;0;-.5;0;-.3000000000000007;.2999999999999998;.25;0;.0900000000000004;.0899999999999999;201605;-1.5731695;73.959999;56.25
3;0;0;0;0;0;0;10;6.6;0;0;0;0;0;0;-.1999999999999993;-.1000000000000005;0;0;.0399999999999997;.0100000000000001;201605;-1.6315597;100;43.560001
4;0;0;0;0;0;0;8.699999999999999;9;0;0;0;0;0;0;-.1000000000000014;-.1999999999999993;0;0;.0100000000000003;.0399999999999997;201605;-1.5416968;75.690002;81
5;0;0;0;0;0;0;10.4;9.800000000000001;0;0;0;0;0;0;-.5;0;0;0;.25;0;201605;-1.5438184;108.16;96.040001
6;0;0;0;0;0;0;11.8;9.199999999999999;0;0;0;0;0;0;-.1999999999999993;.0999999999999996;0;0;.0399999999999997;.0099999999999999;201605;-1.4148598;139.24001;84.639999
7;0;0;0;0;0;0;14.4;9.6;0;0;0;0;0;0;.2000000000000011;-.2000000000000011;0;0;.0400000000000004;.0400000000000004;201605;-1.3324765;207.36;92.160004
1;0;0;0;0;0;0;17.6;10.3;0;0;0;0;0;0;0;-.0999999999999996;0;0;0;.0099999999999999;201605;-1.5632343;309.76001;106.09
2;0;0;0;0;0;0;13.3;11.4;0;0;0;0;0;0;-.0999999999999996;-.6999999999999993;0;0;.0099999999999999;.489999999999999;201605;-1.6372859;176.89;129.96001
3;0;0;0;0;0;0;11.4;9.199999999999999;0;0;0;0;0;0;.5999999999999996;-.4000000000000004;0;0;.3599999999999996;.1600000000000003;201605;-1.5630623;129.96001;84.639999
4;0;0;0;0;0;0;12.8;9;0;0;0;0;0;0;-.6999999999999993;.1999999999999993;0;0;.489999999999999;.0399999999999997;201605;-1.5873519;163.84;81
5;0;0;0;0;0;0;7.2;8.800000000000001;0;0;0;0;0;0;-.8999999999999995;-.2999999999999989;0;0;.8099999999999991;.0899999999999994;201605;-1.5455811;51.84;77.440002
6;0;0;0;0;0;0;10.3;9.300000000000001;0;0;0;0;0;0;.3000000000000007;-.0999999999999996;0;0;.0900000000000004;.0099999999999999;201605;-1.732098;106.09;86.489998
7;0;0;0;0;0;0;11.4;11.1;0;0;0;0;0;0;-.4000000000000004;-.3000000000000007;0;0;.1600000000000003;.0900000000000004;201605;-1.6023372;129.96001;123.21
